match,n_cd_total,n_with_match,n_without_match,n_unique,n_ambiguous,coverage,frac_unique,frac_ambiguous,sep_median,sep_p90,sep_unique_median,sep_unique_p90
1: pos. sin pm,611798,482102,129696,324191,157911,0.7880084603087947,0.6724531323246947,0.3275468676753052,17.11249769050003,27.39756331848109,15.742628850340319,26.735213287729216
2: pos.+mag sin pm,611798,434450,177348,398947,35503,0.710120006930392,0.9182805846472551,0.08171941535274485,15.42926131779065,26.551755695825875,15.122810781448397,26.32780912852606
3: pos. con pm,611798,483061,128737,328141,154920,0.7895759711538776,0.6792951614806412,0.3207048385193588,16.95334440002104,27.36285930547181,15.480553306507982,26.670462336371603
4: pos.+mag con pm,611798,435010,176788,400913,34097,0.7110353417304405,0.9216178938415209,0.07838210615847911,15.19082089063373,26.483972889382066,14.861810471680032,26.228024044403842
