match,n_cd_total,n_with_match,n_without_match,n_unique,n_ambiguous,coverage,frac_unique,frac_ambiguous,sep_median,sep_p90,sep_unique_median,sep_unique_p90
1: pos. sin pm,611798,398112,213686,302086,96026,0.650724585565824,0.7587965195723816,0.24120348042761836,13.673971733860151,21.12589844413514,13.183717282633499,20.93260456671674
2: pos.+mag sin pm,611798,350297,261501,329730,20567,0.5725697043795501,0.9412869650610768,0.058713034938923256,12.863466782017902,20.757356802265313,12.770096946334528,20.709639052121574
3: pos. con pm,611798,400698,211100,306886,93812,0.6549514709103331,0.7658785419443072,0.23412145805569282,13.522422404847871,21.086166613554443,12.994527531755015,20.879934105337135
4: pos.+mag con pm,611798,352887,258911,333357,19530,0.5768031278297738,0.9446565047734827,0.05534349522651727,12.668250909785346,20.70635647201429,12.563965149362792,20.649561933158445
