match,n_cd_total,n_with_match,n_without_match,n_unique,n_ambiguous,coverage,frac_unique,frac_ambiguous,sep_median,sep_p90,sep_unique_median,sep_unique_p90
1: pos. sin pm,611798,575386,36412,286449,288937,0.9404836236797113,0.497837973117177,0.502162026882823,25.087755161457423,41.91711448584761,19.449185510566913,37.901612797566735
2: pos.+mag sin pm,611798,540155,71643,463071,77084,0.8828976230716674,0.8572928140996566,0.14270718590034343,19.8083397039787,38.79694996771954,18.328683415113062,36.75585864777994
3: pos. con pm,611798,574405,37393,288879,285526,0.938880153253198,0.5029186723653172,0.4970813276346828,24.953742714487177,41.915821328433374,19.07520953512621,37.69364581255562
4: pos.+mag con pm,611798,537898,73900,462908,74990,0.8792084969221867,0.8605869514294532,0.13941304857054684,19.515343838233964,38.69518185177811,17.980386391673285,36.55030410087703
